"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"175","7289157","Ie","","Symbol","ISoloModeManagerStore"
"176","7289332","Ie","","Symbol","ISoloModeManagerStore"
"177","7289429","","","",""
"178","7289567","","","",""
"179","7289729","xC","","Symbol","ISessionStore"
"180","7289892","xC","","Symbol","ISessionStore"
"181","7289980","IN","","Symbol","ISessionRelationStoreInternal"
"182","7290106","IN","","Symbol","ISessionRelationStoreInternal"
"183","7290197","IN","_credentialConnectorServic","Symbol","ISessionRelationStoreInternal"
"184","7290294","Nc","_credentialConnectorService","Symbol","IEntitlementStore"
"185","7290387","Il","_credentialConnectorService","Symbol.for","aiAgent.ICommercialPermissionService"
"186","7290491","","_credentialConnectorService","",""
"187","7290844","Eh","","Symbol.for","aiAgent.IStorageFacade"
"188","7290934","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"189","7291037","","","",""
"190","7299494","Tm","","Symbol.for","ai.IDocsetStore"
"191","7299580","xC","_bootService","Symbol","ISessionStore"
"192","7299668","IN","_bootService","Symbol","ISessionRelationStoreInternal"
"193","7301658","Cv","","Symbol.for","aiAgent.II18nService"
"194","7301745","kv","","Symbol.for","IModelService"
"195","7301833","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"196","7301926","kh","","Symbol","ICommercialActivityService"
"197","7302027","Il","","Symbol.for","aiAgent.ICommercialPermissionService"
"198","7302159","Il","_slardar","Symbol.for","aiAgent.ICommercialPermissionService"
"199","7302938","Mr","","Symbol.for","aiAgent.ISlardarFacade"
"200","7311667","Eh","","Symbol.for","aiAgent.IStorageFacade"
"201","7317697","Mz","","Symbol.for","aiAgent.IContextKeyFacade"
"202","7317788","I7","","Symbol","IProjectStore"
"203","7317876","Eh","","Symbol.for","aiAgent.IStorageFacade"
"204","7317964","xC","","Symbol","ISessionStore"
"205","7318054","IN","","Symbol","ISessionRelationStoreInternal"
"206","7319557","I2","","Symbol","IInlineSessionStore"
"207","7319638","","","",""
"208","7320119","Dj","","Symbol.for","IUserMessageParser"
"209","7320207","DU","","Symbol.for","IInlineSessionStoreService"
"210","7322383","DQ","","Symbol","IUserMessageContextParser"
"211","7323301","DK","","Symbol","IMetadataParser"
"212","7323885","DK","","Symbol","IMetadataParser"
"213","7344389","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"214","7344476","Tm","","Symbol.for","ai.IDocsetStore"
"215","7344623","Tm","","Symbol.for","ai.IDocsetStore"
"216","7344710","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"217","7473948","Tm","","Symbol.for","ai.IDocsetStore"
"218","7474035","bY","","Symbol.for","aiAgent.ILogService"
"219","7474122","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"220","7474216","AM","","Symbol.for","IUtilFacade"
"221","7474303","xC","","Symbol","ISessionStore"
"222","7474392","TQ","","Symbol","ITasksHubStore"
"223","7474484","TQ","","Symbol","ITasksHubStore"
"224","7474573","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"225","7474679","","","",""
"226","7474826","","","",""
"227","7474981","","","",""
"228","7475172","T8","","Symbol","ILintErrorAutoFixStore"
"229","7475351","T8","","Symbol","ILintErrorAutoFixStore"
"230","7475449","Tz","","Symbol","aiChat.ICustomRuleStore"
